City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
106,Isangel,VU,-19.55,169.2667,82.89,64,94,6.8,overcast clouds,2022-11-17 00:15:24
107,Carnarvon,AU,-24.8667,113.6333,67.15,57,100,14.99,overcast clouds,2022-11-17 00:15:24
108,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,79,26,15.5,scattered clouds,2022-11-17 00:15:25
109,Richards Bay,ZA,-28.783,32.0377,70.84,92,83,7.07,broken clouds,2022-11-17 00:15:26
110,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.11,91,100,16.55,light rain,2022-11-17 00:15:26
111,East London,ZA,-33.0153,27.9116,65.37,78,81,2.55,broken clouds,2022-11-17 00:13:30
112,Bandarbeyla,SO,9.4942,50.8122,78.01,69,16,15.48,few clouds,2022-11-17 00:15:27
113,Klaksvik,FO,62.2266,-6.589,49.12,89,82,33.67,light rain,2022-11-17 00:15:28
114,Bodden Town,KY,19.2833,-81.25,82.4,74,20,10.36,few clouds,2022-11-17 00:15:29
115,Nioro,GM,13.35,-15.75,77.43,66,83,3.94,broken clouds,2022-11-17 00:15:29
116,Belyy Yar,RU,53.6039,91.3903,28.29,86,40,4.47,light shower snow,2022-11-17 00:14:00
117,Sao Francisco De Paula,BR,-29.4481,-50.5836,57.38,53,0,4.05,clear sky,2022-11-17 00:15:29
118,Pevek,RU,69.7008,170.3133,6.44,95,100,4.63,light snow,2022-11-17 00:15:30
119,Norman Wells,CA,65.282,-126.8329,13.73,87,100,4.72,overcast clouds,2022-11-17 00:15:30
120,Mehamn,NO,71.0357,27.8492,42.75,39,51,14.97,broken clouds,2022-11-17 00:15:30
121,Kavieng,PG,-2.5744,150.7967,84.4,68,100,8.88,overcast clouds,2022-11-17 00:15:31
122,Kholmogory,RU,64.2229,41.656,21.96,97,16,2.91,few clouds,2022-11-17 00:15:31
123,Bambous Virieux,MU,-20.3428,57.7575,67.21,65,0,4.7,clear sky,2022-11-17 00:11:14
124,Barrow,US,71.2906,-156.7887,28.42,74,0,19.57,clear sky,2022-11-17 00:15:31
125,Hithadhoo,MV,-0.6,73.0833,80.71,76,79,10.56,broken clouds,2022-11-17 00:15:32
126,Ribeira Grande,PT,38.5167,-28.7,63.77,64,59,4.0,broken clouds,2022-11-17 00:10:39
127,Mogocha,RU,53.7333,119.7667,13.39,95,100,1.61,overcast clouds,2022-11-17 00:15:33
128,Domna,RU,51.8971,113.1573,28.56,64,70,8.95,broken clouds,2022-11-17 00:12:24
129,Mogadishu,SO,2.0371,45.3438,78.49,83,20,10.09,few clouds,2022-11-17 00:15:33
130,Vila Velha,BR,-20.3297,-40.2925,71.55,97,75,3.44,broken clouds,2022-11-17 00:15:34
131,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,82,96,14.63,overcast clouds,2022-11-17 00:15:34
132,Waingapu,ID,-9.6567,120.2641,82.36,73,100,2.08,overcast clouds,2022-11-17 00:15:35
133,Cockburn Town,TC,21.4612,-71.1419,82.09,76,7,17.98,clear sky,2022-11-17 00:10:48
134,Boueni,YT,-12.9025,45.0761,75.18,75,52,5.21,broken clouds,2022-11-17 00:15:35
135,Djenne,ML,13.9061,-4.5533,75.29,15,62,9.82,broken clouds,2022-11-17 00:15:36
136,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,40,10.36,scattered clouds,2022-11-17 00:15:36
