City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Kattivakkam,IN,73.49,scattered clouds,13.2167,80.3167,Chennai
588,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Neiafu
589,Alvorada,BR,75.25,overcast clouds,-12.48,-49.1247,Alvorada
590,Kango,GA,72.84,light rain,0.1943,10.0951,Kango
591,Gamba,GA,76.06,light rain,-2.65,10.0,Foundou
597,Mananjary,MG,71.76,light rain,-21.2167,48.3333,Mananjary
603,Kiunga,PG,85.23,overcast clouds,-6.1219,141.2906,Kiunga
604,Fougamou,GA,71.58,light rain,-1.2154,10.5838,Fougamou
613,Cururupu,BR,75.79,broken clouds,-1.8283,-44.8683,Cururupu
617,Gao,ML,70.0,overcast clouds,16.6362,1.637,
619,Kochi,IN,77.02,overcast clouds,9.9399,76.2602,Kochi
623,Ha Tinh,VN,74.95,few clouds,18.3333,105.9,Hà Tĩnh
624,Pathein,MM,71.87,scattered clouds,16.7833,94.7333,Pathein
632,Manavadar,IN,72.27,clear sky,21.5,70.1333,Ratanpara
634,Kaeo,NZ,74.32,broken clouds,-35.1,173.7833,Kaeo
636,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,Nampula
640,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isabela City
641,Exu,BR,80.87,broken clouds,-7.5119,-39.7242,Exu
649,Wagar,SD,78.87,clear sky,16.1525,36.2032,Wagga
650,Sarangani,PH,79.75,overcast clouds,5.4033,125.4636,Municipality of Sarangani
652,Tombouctou,ML,70.88,overcast clouds,20.0,-3.0,
654,Umm Lajj,SA,75.02,broken clouds,25.0213,37.2685,Umluj
656,Carutapera,BR,78.8,broken clouds,-1.195,-46.02,Carutapera
657,Itacoatiara,BR,82.51,overcast clouds,-3.1431,-58.4442,Itacoatiara
658,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,Port Hedland
662,Caravelas,BR,73.54,overcast clouds,-17.7125,-39.2481,Caravelas
665,Santa Fe,AR,83.98,light rain,-31.6333,-60.7,Santa Fe
669,Oranjestad,AW,82.9,scattered clouds,12.524,-70.027,Oranjestad
670,Bontang,ID,78.89,overcast clouds,0.1333,117.5,Bontang
671,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,Balikpapan
674,Sao Miguel Do Araguaia,BR,76.69,scattered clouds,-13.275,-50.1628,São Miguel do Araguaia
677,Las Lomas,PA,76.69,overcast clouds,8.4333,-82.4,David
680,Werda,BW,77.43,scattered clouds,-25.2667,23.2833,Werda
